org.jhotdraw.undo.UndoRedoManager org.jhotdraw.undo.UndoRedoManager 2514 47.02581 99.40688
org.jhotdraw.undo.UndoRedoManager org.jhotdraw.undo.UndoRedoManager.UndoAction 1200 22.44669 100
org.jhotdraw.undo.UndoRedoManager org.jhotdraw.undo.UndoRedoManager.RedoAction 1200 22.44669 100
org.jhotdraw.app.action.window org.jhotdraw.app.action.window.FocusWindowAction 6 6.25 8.333334
org.jhotdraw.app.action.window org.jhotdraw.app.View 6 6.25 0.3264418
org.jhotdraw.app.action org.jhotdraw.app.View 87 22.83464 4.733406
org.jhotdraw.samples.teddy.action.ToggleLineWrapAction org.jhotdraw.samples.teddy.TeddyView 2 16.66667 0.3072197
org.jhotdraw.samples.teddy.TeddyView org.jhotdraw.samples.teddy.TeddyView.EditorPanel 2 0.3502627 22.22222
org.jhotdraw.samples.teddy.action.ToggleStatusBarAction org.jhotdraw.samples.teddy.TeddyView 6 25 0.921659
org.jhotdraw.samples.teddy.action.ToggleLineNumbersAction org.jhotdraw.samples.teddy.TeddyView 6 25 0.921659
org.jhotdraw.samples.teddy.TeddyView org.jhotdraw.samples.teddy.text.NumberedViewFactory 7 1.225919 0.1699029
org.jhotdraw.app.AbstractApplication org.jhotdraw.app.View 370 30.83333 20.13058
org.jhotdraw.app.AbstractView org.jhotdraw.app.AbstractView 35 70 100
org.jhotdraw.app.action.AbstractViewAction.2 org.jhotdraw.app.action.AbstractViewAction 2726 100 33.87177
org.jhotdraw.app.OSXApplication.WindowMenuHandler org.jhotdraw.app.OSXApplication.WindowMenuHandler 45 6.320225 65.21739
org.jhotdraw.app.action.window.FocusWindowAction org.jhotdraw.app.action.window.FocusWindowAction 55 9.821428 76.38889
org.jhotdraw.app.action.window.FocusWindowAction org.jhotdraw.util.ResourceBundleUtil 200 35.71429 0.658588
org.jhotdraw.app.action.window.FocusWindowAction org.jhotdraw.app.View 255 45.53571 13.87378
org.jhotdraw.app.action.window.FocusWindowAction org.jhotdraw.app.Application 50 8.928572 1.849113
org.jhotdraw.app.action.AbstractViewAction org.jhotdraw.app.View 720 9.914624 39.17301
org.jhotdraw.app.OSXApplication org.jhotdraw.app.View 81 4.972375 4.406964
org.jhotdraw.app.action.window.FocusWindowAction.1 org.jhotdraw.app.action.window.FocusWindowAction 6 100 8.333334
org.jhotdraw.util.prefs.PreferencesUtil org.jhotdraw.util.prefs.PreferencesUtil 6 100 14.28572
org.jhotdraw.samples.teddy.text.NumberedParagraphView org.jhotdraw.samples.teddy.text.NumberedViewFactory 4112 72.53484 99.80582
org.jhotdraw.app.action.AbstractViewAction.1 org.jhotdraw.app.action.AbstractViewAction 414 100 5.144135
